Blog Title,Blog Date,Author Name,Blog Link,Thumbnail Link
Everything you need to know about these new low-impact fashion collections,2 June 2020,Garima Gupta,https://www.vogue.in/fashion/content/new-low-impact-fashion-collections-hm-benetton-puma,https://assets.vogue.in/photos/5ed5f4e254c8cbd19bec6cd0/1:1/w_1600%2Cc_limit/4Look%2520book%2520-%2520Conscious%2520exclusive%25202020.jpg
14 pictures that take you inside Mira Rajput Kapoor’s collection of dresses,1 June 2020,Yashna Chopra,https://www.vogue.in/fashion/content/pictures-inside-mira-rajput-kapoor-dress-collection-maxi-dress-date-night,https://assets.vogue.in/photos/5ed4d88464872e9ac717c6b6/1:1/w_1600%2Cc_limit/mira%2520rajput%2520kapoor%2520in%2520a%2520midi%2520dress.jpg
Vogue's tribute to #homemade and why small is the new big,1 June 2020,Vogue.in,https://www.vogue.in/fashion/content/vogue-tribute-to-homemade-and-why-small-is-the-new-big,https://assets.vogue.in/photos/5ed4d292c7200c7e649e48a6/1:1/w_1600%2Cc_limit/vogue%2520loves%2520support%2520small%2520businesses.jpg
Vogue stylist Julie Pelipas is launching an upcycled suiting label—and it’s affordable,1 June 2020,Julia Hobbs,https://www.vogue.in/fashion/content/vogue-stylist-julie-pelipas-is-launching-an-upcycled-suiting-label-and-its-affordable,https://assets.vogue.in/photos/5ed4b21b54c8cbd19bec6ca9/1:1/w_1600%2Cc_limit/GettyImages-993362012.jpg
Stella McCartney and Olafur Eliasson on sustainability in fashion and art,1 June 2020,Liam Freeman,https://www.vogue.in/fashion/content/stella-mccartney-and-olafur-eliasson-on-sustainability-in-fashion-and-art,https://assets.vogue.in/photos/5ed4a90ac7200c7e649e4889/1:1/w_1600%2Cc_limit/GettyImages-607017045.jpg
At home with Olivia Palermo and Johannes Huebl,31 May 2020,Priyanka Khanna,https://www.vogue.in/fashion/content/at-home-with-olivia-palermo-and-johannes-huebl,https://assets.vogue.in/photos/5ed0fc5a02e117a6ff057665/1:1/w_1600%2Cc_limit/DIGI_Olivia_Website1.jpg
15 pictures that prove Samantha Akkineni’s love for Indian wear,31 May 2020,Hasina Khatib,https://www.vogue.in/fashion/content/pictures-samantha-akkineni-designer-indian-wear-collection-sari-suit,https://assets.vogue.in/photos/5ed090ba02e117a6ff057605/1:1/w_1600%2Cc_limit/15%2520pictures%2520that%2520prove%2520Samantha%2520Akkinenis%2520love%2520for%2520Indian%2520wear.jpg
22 pictures that will take you inside Tara Sutaria’s off-duty wardrobe,30 May 2020,Praachi Raniwala,https://www.vogue.in/fashion/content/pictures-inside-tara-sutaria-off-duty-wardrobe,https://assets.vogue.in/photos/5ec636675ad135573cfd3d64/1:1/w_1600%2Cc_limit/tara-sutaria-in-mumbai-1.jpg
Inside Alaya F’s workout closet,29 May 2020,Yashna Chopra,https://www.vogue.in/fashion/content/inside-alaya-f-gym-wardrobe-leggings-sports-bra-tights-workouts,https://assets.vogue.in/photos/5ed0d0f702e117a6ff057656/1:1/w_1600%2Cc_limit/alaya-F-in-a-croptop-and-leggings-2.jpg
"Michael Kors on Zoom calls, extending support to designers and the resilience of the human spirit",29 May 2020,Rujuta Vaidya,https://www.vogue.in/fashion/content/michael-kors-on-zoom-calls-extending-support-to-designers-and-the-resilience-of-the-human-spirit,https://assets.vogue.in/photos/5ecfaab2b107db5a4f641149/1:1/w_1600%2Cc_limit/Michael%2520Kors%2520Collection%2520spring%2520summer%25202020.jpg
Sophie Turner is the first to carry this covetable new Louis Vuitton bag,29 May 2020,Alice Newbold,https://www.vogue.in/fashion/content/sophie-turner-is-the-first-to-carry-this-covetable-new-louis-vuitton-bag,https://assets.vogue.in/photos/5ed09154193ac7578d6da804/1:1/w_1600%2Cc_limit/LV%2520Celeb%2520SOPHIE%2520TURNER.jpg
Why Billie Eilish’s go-to eco-designer needs to be on your radar right now,29 May 2020,Emily Chan,https://www.vogue.in/fashion/content/why-billie-eilish-go-to-eco-designer-duran-lantink-needs-to-be-on-your-radar-right-now,https://assets.vogue.in/photos/5ed08b4402e117a6ff0575fd/1:1/w_1600%2Cc_limit/001-Billie-Eilish-vogue-260520-credit-Kenneth-Cappello.jpg
5 labels you will always find in Alia Bhatt's wardrobe,28 May 2020,Yashna Chopra,https://www.vogue.in/fashion/content/5-designer-labels-you-will-always-find-in-alia-bhatt-wardrobe,https://assets.vogue.in/photos/5ecf775b02e117a6ff0575e9/1:1/w_1600%2Cc_limit/Alia-Bhatt-in%2520a%2520Silvia%2520Tcherassi%2520dress.jpg
Sonam Kapoor Ahuja on the Indian designer labels she is supporting right now,28 May 2020,Garima Gupta,https://www.vogue.in/fashion/content/sonam-kapoor-ahuja-on-the-indian-designer-labels-she-is-supporting-right-now,https://assets.vogue.in/photos/5ecf921502e117a6ff0575eb/1:1/w_1600%2Cc_limit/Vogue_NYC_July17_5887.jpg
"Rahul Mishra: ""In family, there is no letting go""",28 May 2020,Rahul Mishra,https://www.vogue.in/fashion/content/designer-rahul-mishra-talks-about-supporting-his-extended-family-of-craftsmen-in-the-pandemic,https://assets.vogue.in/photos/5ece43f8b107db5a4f64111b/1:1/w_1600%2Cc_limit/Designer%2520Rahul%2520Mishra%2520talks%2520about%2520his%2520extended%2520family%2520of%2520craftsmen%2520and%2520the%2520need%2520to%2520band%2520together%2520in%2520trying%2520times.jpg
"Dua Lipa, Kaia Gerber are here to revive the bandana scarf as the accessory of the summer",28 May 2020,Julia Hobbs,https://www.vogue.in/fashion/content/dua-lipa-kaia-gerber-how-to-wear-the-bandana-scarf-as-the-accessory-of-the-summer,https://assets.vogue.in/photos/5ecf4bd502e117a6ff0575d8/1:1/w_1600%2Cc_limit/Dua%2520Lipa%2C%2520Kaia%2520Gerber%2520are%2520here%2520to%2520revive%2520the%2520bandana%2520scarf%2520as%2520the%2520accessory%2520of%2520the%2520summer.jpg
The fascinating story behind Princess Margaret’s most iconic tiara,27 May 2020,Elise Taylor,https://www.vogue.in/fashion/content/the-fascinating-story-behind-princess-margarets-most-iconic-poltimore-tiara-royal-jewellery,https://assets.vogue.in/photos/5ece2154193ac7578d6da7ab/1:1/w_1600%2Cc_limit/promo-poltimore-tiara.jpg
"Kylie Jenner, Anushka Sharma will make you add these bikinis to your cart right now",27 May 2020,Yashna Chopra,https://www.vogue.in/fashion/content/celebrity-swimsuits-kylie-jenner-anushka-sharma-bikini-inspiration-pictures,https://assets.vogue.in/photos/5ece3355b107db5a4f641110/1:1/w_1600%2Cc_limit/kylie%2520jenner%2520in%2520a%2520green%2520bikini.jpg
"Five global retailers share what’s selling online, from sweatpants to wedding dresses",27 May 2020,Steff Yotka,https://www.vogue.in/fashion/content/five-global-retailers-share-whats-selling-online-from-sweatpants-to-wedding-dresses,https://assets.vogue.in/photos/5ece2919193ac7578d6da7af/1:1/w_1600%2Cc_limit/Gigi-Hadid-White-Combat-Boots-Jan-2019.jpg
